"Source:","C:\Users\Matth\Documents\KiCad\6.0\projects\Modular Synth\VCF\VCF.kicad_sch"
"Date:","5/9/2022 2:33:19 AM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","133"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description"
"","","C101","1u","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C102","1u","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C103","10u","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C104","220u","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C105","47n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C106","47n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C107","47n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C108","47n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C109","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C110","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C111","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C112","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C113","1u","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C114","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C115","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C116","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C117","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C118","220n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
